SM0	SMITH
PKT	BEKHIT
PTL	BEIGHTOL
PHL	BEHEL
PTS	BEETZ
PTSN	BEDSON
PS	BECZE
PKMR	BECKMEYER
PK	BECKEY
PKRS	BECKERS
PKLMR	BECKELHIMER
PK	BECCUE
PPRK	BEBERWYK
PPR	BEBBER
PMSTRFR	BEAMESDERFER
PKM	BEACOM
PSL	BAZZLE
PSL	BAZIL
PNM	BAYNHAM
PHNN	BAYHONAN
PS	BAYAS
PN	BAWANY
PF	BAVA
PMKRT	BAUMGARDT
PRKMPR	BAUERKEMPER
PTR	BAUDRY
PTN	BAUDINO
PTK	BATTKO
PTST	BATTISTI
PT	BATTA
PSN	BASSANO
PSKS	BASKAS
PSLR	BASELER
PSNT	BASANTA
PRTX	BARTUCCI
PRTRN	BARTRON
PR0LT	BARTHOLD
PRTMN	BARTAMIAN
PRSL	BARSALOU
PRN	BARRINEAU
PRJR	BARRIGER
PRNX	BARRENECHE
PRK	BARKIE
PRX	BARICH
PRTS	BARDES
PRPN	BARBANO
PRL	BARAL
PRKR	BARAGAR
PK	BAQUE
PN0R	BANTHER
PNM	BANOME
PNSK	BANNOWSKY
PNK	BANKE
PNK	BANIAGA
PNTL	BANDLEY
PNHN	BANAHAN
PNK	BANAAG
PMP	BAMBA
PLTSR	BALTZER
PLSTR	BALSTER
PLNS	BALNIS
PLKN	BALKIN
PL	BALI
PLF	BALFE
PLR	BALERIO
PLNT	BALENT
PLTK	BALDYGA
PLTR	BALDOR
PLTNKR	BALDINGER
PLTSN	BALDASSANO
PLTX	BALDACCI
PLNF	BALANOFF
PLT	BALADO
PLPN	BALABAN
PLM	BALAAM
PKS	BAKES
PJ	BAJWA
PX	BAISCH
PNSN	BAHNSEN
PLS	BAHLS
PLR	BAHLER
PHMNT	BAHAMONDE
PKTSRN	BAGDASARIAN
PKSN	BAGAOISAN
PF	BAFIA
PS	BAESE
PTLT	BADOLATO
PT	BADO
PTR	BADDER
PKRN	BACURIN
PKRS	BACKERS
PKR	BACHOR
PP	BABE
PPT	BABBIT
PPT	BABAUTA
PTSKRT	BAADSGAARD
ASR	AZZARA
ASPT	AZEBEDO
AFRL	AVRIL
AFL	AVELLO
AFLN	AVELINE
A0R	AUTHUR
ASP	AUSBY
ARX	AURICCHIO
AN	AUNA
AKRMN	AUKERMAN
AKRMN	AUCKERMAN
AK	AUCK
APL	AUBLE
ATRSN	ATTERSON
ATRT	ATTARD
ASKN	ASWEGAN
AST	ASTE
AST	ASTA
ASF	ASSAF
ASPN	ASPEN
ASKN	ASKEN
ASF	ASIF
AST	ASIEDU
AXNR	ASHNER
ASL	ASEL
AXNPK	ASCHENBACH
ARF	ARVAY
ARFN	ARVAN
ARTS	ARTUS
ARTL	ARTLEY
ARL	ARROLLO
AR	AROYO
ARNF	ARONOV
ARMN	AROMIN
ARNSR0	ARNSWORTH
ARNSPJR	ARNSPIGER
ARN	ARNN
ARMNT	ARMANT
ARNKTN	ARINGTON
ARKPRT	ARGUBRIGHT
ARNTS	ARENTZ
ARKRS	ARCORACI
ARP0NT	ARBUTHNOT
ARP	ARBO
AKLN	AQUILINA
AKLR	AQUILERA
APT	APT
APS	APSEY
APLN	APPOLONIA
APL	APOLLO
APN	APANA
ANTST	ANTISTA
ANXTS	ANSHUTZ
ANN	ANON
AN	ANNO
ANL	ANNALA
ANKLM	ANKLAM
ANKLT	ANGOLD
ANJLN	ANGELONE
ANJLN	ANGELINE
ANJLT	ANGELETTI
ANTRN	ANDREN
ANTRTS	ANDREADIS
ANTR	ANDERA
ANTLMN	ANDELMAN
ANTL	ANDEL
ANKTL	ANCTIL
ANXRS	ANCHORS
ANKR	ANACKER
AMP	AMPY
AMNS	AMONS
AMRLT	AMIRAULT
AMR	AMIR
AMSK	AMEZAGA
AMK	AMEIGH
AL	ALYEA
ALTFTR	ALTVATER
ALTK	ALTIG
ALTRMT	ALTERMATT
AL	ALO
ALMNKR	ALMENGOR
ALM	ALME
ALFN	ALLVIN
ALK	ALLOCCO
ALKRN	ALLEGRINI
ALMNT	ALIMENT
ALJ	ALGEE
ALKSNN	ALEXANIAN
ALR	ALER
ALT	ALDO
ALPR	ALBERO
ALRT	ALARID
AKN	AKIONA
AKMN	AKEMON
AJL	AJELLO
AXSN	AITCHESON
ANL	AINLEY
AL	AILEY
ALL	AHLUWALIA
ALF	AHLF
ALPRKT	AHLBRECHT
AKNTS	AGUNDEZ
AKR	AGRO
AJNS	AGINS
AKRL	AGGARWAL
AFLF	AFALAVA
ATRN	ADRIANO
ATMTS	ADOMAITIS
ATLFS	ADOLPHUS
ATLM	ADLAM
AT	ADIE
AT	ADEY
ATS	ADDUCI
ATLMN	ADDLEMAN
ATMN	ADAMYAN
AK0L	ACOTHLEY
AKLN	ACKLEN
AKRT	ACKERT
AKRL	ACKERLY
ASNS	ACENCIO
AKST	ACCOSTA
APNTS	ABUNDIZ
APT	ABEDI
APS	ABBASSI
APS	ABBASI
ANRT	AANERUD
AKR	AAKRE
AKRT	AAGAARD
SKL	ZWICKL
SFR	ZUVER
SRSK	ZURASKY
SMP	ZUMBO
SMP	ZUMBA
SKRR	ZUCKERWAR
SKRL	ZUCCARELLI
SPRS	ZUBRIS
SX	ZOUCHA
SRNS	ZORNS
SRK	ZORC
STS	ZITZOW
STSLF	ZITZLOFF
SRKLS	ZIRKLES
SP	ZIPPE
SL	ZIOLA
SNS	ZINZ
SNSMSTR	ZINSMEISTER
SNK	ZINCKE
SXNK	ZIESCHANG
SRT	ZIERDT
SN	ZIEN
SMK	ZIEMKE
STK	ZIDEK
SKLR	ZICKLER
SNR	ZEUNER
SRP	ZERBA
SR	ZERA
SNKR	ZENGER
SLTMN	ZELTMANN
SL	ZELLE
SLNK	ZELINKA
SLK	ZELEK
SL	ZELE
SNR	ZEINER
SMT	ZEIMET
STLR	ZEIDLER
SXN	ZECCHINI
SPL	ZEBLEY
STNTS	ZDANOWICZ
SPL	ZBELL
SR	ZARO
SRMSK	ZAREMSKI
SR	ZAR
SN	ZANI
SNKNL	ZANCANELLA
SN	ZANA
SMPRN	ZAMBARANO
SKR	ZAKAR
STRSN	ZADOROZNY
STR	ZADER
SKR	ZACCARO
ASKRT	YSQUIERDO
AKSL	YOXALL
AST	YOUST
ANKSTRM	YOUNGSTROM
AN	YOUN
AKR	YOUKER
AS	YOSS
AXN	YOSHINA
ANK	YONKE
ANMR	YONEMURA
AHNS	YOHANNES
AK	YOCK
ART	YERHOT
ANK	YENGO
AL	YEHLE
ANFSK	YANOFSKY
AKR	YAKER
AKS	YAGUES
AX	YACH
A	YA
S	XUE
ARSTK	WYROSDICK
AKL	WYGLE
AKNT	WYGAND
ARSR	WURZER
ARL	WURL
ANTRLN	WUNDERLIN
ANTRL	WUNDERLE
AR0	WUERTH
RTR	WRITER
RKTN	WRIGHTEN
RX	WRICH
ASN	WOZNY
ASN	WOZNEY
AK	WOWK
ATRS	WOUTERS
ARMNKTN	WORMINGTON
ARF	WORF
ALM	WOOLEM
ATRX	WOODRICH
ATRSN	WOODERSON
ANTR	WONDER
AMLTRF	WOMELDORF
ALS	WOLZ
ALTMN	WOLTMANN
ALSTNLM	WOLSTENHOLME
ALM0	WOLLMUTH
AL	WOLLE
ALFRT	WOLFARD
ALTRJ	WOLDRIDGE
ATNSK	WOJTANOWSKI
ANR	WOJNER
ATTS	WOITOWITZ
AL	WOEHL
ATNPRK	WITTENBURG
ATL	WITTEL
ATX	WITSCHI
ATSK	WITASZEK
ATKR	WITAKER
ASNSK	WISZYNSKI
ASL	WISWALL
AS	WISS
AXR	WISHER
ASNPKR	WISENBAKER
ARS	WIRES
ANSK	WINSKY
ANFK	WINFOUGH
ANTLR	WINDLER
ANKLR	WINCKLER
AMS	WIMES
ALTPRKR	WILTBERGER
ALM	WILM
ALRX	WILLRICH
ALP	WILLOBY
ALMN	WILLIMON
ALNPRK	WILLENBORG
ALT	WILDA
ALSSK	WILCZEWSKI
ALKK	WILCOCK
AKNS	WIGGENS
AKPLT	WIGBOLDY
ASLR	WIESLER
AS	WIES
ANF	WIENHOFF
ALKS	WIELGUS
APRS	WIEBERS
APR	WIEBER
AKSR	WICKIZER
AXRSK	WICHROWSKI
APNS	WIBBENS
ART	WHYARD
AL	WHOLEY
ATS	WHITSEY
ATLNKM	WHITLINGUM
ATLK	WHITLACH
AR	WHIRRY
AR	WHARRY
ARF	WHARFF
AK	WHACK
AMN	WEYMAN
ALR	WEYLER
A0J	WETHJE
ASTFR	WESTVEER
ASTMRLN	WESTMORLAND
ASTRLT	WESTERHOLD
ASLMN	WESSELMAN
ASL	WESLOH
AR	WERY
ARMRS	WERMERS
ARLNKR	WERLINGER
ARKSMN	WERKSMAN
ANSNKR	WENZINGER
ANNKR	WENINGER
ANTLN	WENDELN
ANTLN	WENDELIN
ANK	WENCK
AMPR	WEMBER
ALTRS	WELTERS
ALNT	WELLAND
ALXMN	WELCHMAN
ALXL	WELCHEL
ATNR	WEITNAUER
ASLR	WEISSLER
ANKR	WEINGER
AMN	WEIMANN
AJRT	WEIGERT
ATRT	WEIDERT
AP	WEHBY
AP	WEHBE
AK	WECK
AKTR	WECHTER
AFNK	WEAVING
A0R	WEATHER
AL	WEAL
AKL	WEAGLE
TK	WDOWIAK
ANS	WAYNS
AKT	WAYCOTT
AXF	WAYCHOFF
ATRFL	WATERFALL
AXR	WATCHER
ATHMJ	WATAHOMIGIE
ASSK	WASOWSKI
ASNR	WASNER
AXK	WASHKO
AXNK	WASHING
AXL	WASHELL
ARTNPRK	WARTENBERG
ARSN	WARSON
ARNFLTS	WARRENFELTZ
ARP	WARP
ARMPRT	WARMBRODT
ARRST	WARHURST
ARTSR0	WARDSWORTH
ANSK	WANZEK
ANT	WANTA
ANSNK	WANSING
ANKL	WANKEL
ANKPRK	WANGBERG
ANPRK	WANBERG
AMK	WAMACK
ALTSR	WALTZER
AL0RS	WALTHERS
ALTRSN	WALTERSON
ALX	WALSHE
ALRNT	WALROND
ALXLJR	WALLSCHLAEGER
ALKRN	WALLGREN
ALM	WALEMA
ALTRM	WALDRAM
ALTSR	WALDHAUSER
ALTKR	WALDECKER
ALP	WALBY
AKN	WAKIN
AKPX	WAKABAYASHI
A	WAH
AK	WAGY
AKNR	WAGGNER
AJNR	WAGENAAR
AJ	WAGE
AFL	WAFFLE
ATSNSK	WADZINSKI
ATMN	WADEMAN
AKRL	WACKERLY
AKS	WACHS
APL	WABLE
FRTNPRK	VREDENBURG
FRN	VRANA
FRPL	VRABLE
FR	VOYER
FT	VOTO
FSPR	VOSPER
FSPRK	VOSBERG
FRS	VORHEES
FRN	VORAN
FR	VORA
FNSTN	VONSTEIN
FNTLSK	VONDOLOSKI
FLTN	VOLTIN
FLPSL	VOLPICELLI
FLNT	VOLLAND
FLNTN	VOLENTINE
FLK	VOLCKO
FTK	VOJTKO
FS	VOICE
FJLR	VOGELER
FSN	VIZZINI
FSN	VIZENA
FKS	VIX
FTK	VITKO
FST	VISTE
FSR	VISOR
FSK	VISCO
FRK	VIROCK
FNP	VINUP
FNN	VINION
FNSNS	VINCENZO
FLS	VILLAS
FLRT	VILLARTA
FLR	VILLARI
FLL	VILELLO
FN	VIGNE
FNR	VIENER
FLMS	VIELMAS
FLR	VIELHAUER
FMN	VIEHMAN
FTLX	VIDULICH
FTN	VIDINHA
FTN	VIDEEN
FKRSN	VICKERSON
FKR	VICKER
FRTS	VERTZ
FR	VERRY
FRMX	VERMEESCH
FRLST	VERHULST
FRF	VERHOFF
FRJN	VERHAGEN
FR	VERHAEGHE
FRK	VERGO
FRJR	VERGEER
FRTN	VERDINO
FNS	VENUS
FNTRL	VENTRELLA
FNTL	VENTOLA
FNTR	VENTER
FNS	VENNES
FNR	VENNERI
FNTT	VENDITTO
FLS	VELZY
FLL	VELILLA
FL	VELIE
FLNT	VELANDIA
FKR	VECKER
FSL	VECELLIO
FR	VEAR
FFRK	VAVRICKA
FTRN	VAUTRIN
FTS	VATES
FSL	VASSALL
FSMTJTS	VASMADJIDES
FRT	VARTY
FRN	VARRIANO
FRL	VARRIALE
FRT	VARRATO
FRNT	VARNEDOE
FRLS	VARILLAS
FRTMN	VARDAMAN
FRJS	VARAJAS
FKR	VAQUERO
FNSL	VANZYL
FNFLT	VANVLEET
FNFLK	VANVLECK
FNSST	VANSOEST
FNSKFR	VANSKIVER
FNSKK	VANSKIKE
FNRLR	VANRULER
FNPTN	VANPUTTEN
FN	VANOY
FNS	VANOUS
FNRT	VANOORT
FNL	VANLIEW
FNL	VANLEW
FNL	VANHULLE
FNSR	VANHOOZIER
FNFJN	VANHOFWEGEN
FNTSM	VANHAITSMA
FNSK	VANECEK
FNTRNN	VANDRUNEN
FNTKSN	VANDIXON
FNTFR	VANDIVIER
FNTFRT	VANDIFORD
FNTSNT	VANDEZANDE
FNTJ	VANDEWEGE
FNTRSNT	VANDERZANDEN
FNTRRF	VANDERWERFF
FNTRRF	VANDERWERF
FNTRXL	VANDERSCHEL
FNTRJSN	VANDERGIESSEN
FNTNPRK	VANDENBERGHE
FNTH	VANDEHEI
FNT	VANDEE
FNXR	VANCHERI
FNPRMR	VANBRAMER
FLSN	VALSIN
FL	VALLI
FLT	VALIDO
FLNSN	VALENZANO
FJT	VAJDA
FLNKRT	VAILLENCOURT
FXRS	VACHERESSE
F	VA
ASTKN	UZDYGAN
ATK	UYETAKE
ASLTN	USILTON
ART	URUETA
ARSPRNK	URSPRUNG
ARSK	URSIAK
ARKL	URQUILLA
ARKT	URQUIDI
ARFR	URFER
ART	URETA
ARPNSK	URBANCIC
AR	URA
APL	UPWALL
APTKRF	UPTEGROVE
AFS	UPHAUS
APT	UPADHYAYA
ANTRPRK	UNTERBURGER
ANX	UNCH
ANFLPL	UNAVAILABLE
ANNKST	UNANGST
AMFNR	UMPHENOUR
AMPNR	UMBENHAUER
ALS0	ULSETH
ALTSK	ULATOWSKI
AKST	UKOSATA
AHRK	UHYREK
ARMKR	UHRMACHER
ALX	UHLICH
AN	UENO
ALMN	UELMEN
AT	UDOH
AT	UDE
AXTL	UCHYTIL
TSNK	TZENG
TFR	TYPHAIR
TLFS	TWELVES
THS	TWEHOUS
TKSRN	TUXHORN
TRPR	TURYBURY
TR	TURRO
TRN	TURNE
TRNPLM	TURNBLOM
TRKS	TURKUS
TRKS	TURKS
TRPN	TURBIN
TRPS	TURBES
TNK	TUNICK
TMPKN	TUMPKIN
THLSK	TUHOLSKI
TK	TUGGIE
TFNL	TUFNELL
TPRTN	TUBERTINI
TP	TUBAUGH
TSTS	TSUTSUI
TSH	TSUHA
TST	TSUDA
TSN	TSINNIE
TRP	TRUPP
TRPN	TRUPIANO
TRP	TRUPIA
TRNR	TRUNER
TRNTL	TRUNDLE
TRM	TRUMM
TRLNKR	TRULLINGER
TRL	TRUELL
TRK	TRUCCO
TRRS	TROWERS
TRFR	TROVER
TRSN	TROSIEN
TRNS	TRONNES
TRMPTR	TROMPETER
TRMP	TROMP
TRL	TROLIO
TRNTL	TROENDLE
TRP	TROBAUGH
TRSK	TRISKA
TRMRK	TRIMARCO
TRFLT	TRIFILETTI
TRTL	TRIDLE
TRKX	TRICOCHE
TRSFNT	TRESVANT
TRST	TREST
TRSLR	TRESLER
TRSK	TRESCA
TRMNT	TREMONT
TRMN	TREMAYNE
TRNN	TREINEN
TRXLR	TREICHLER
TRKN	TREGLIA
TRMR	TREAMER
TRKSSN	TRAXSON
TRK	TRAUGH
TRXR	TRASHER
TRPS	TRAPASSO
TRNT	TRANT
TRNKS	TRANCOSO
TRSTR	TRAISTER
TRLR	TRAILOR
TRJSR	TRAGESER
TRFKNT	TRAFICANTE
TRK	TRAC
T	TOYA
TSN	TOWSON
TFR	TOVREA
T0R	TOTHEROW
TT	TOTE
TRTRL	TORTORELLI
TR	TORRI
TRNPN	TORNABENE
TRJN	TORIGIAN
TRL	TORELLO
TP	TOPPA
TPR	TOPOR
T0L	TOOTHILL
TP	TOOP
TNSL	TONSIL
TMSX	TOMSICH
TM	TOMMIE
TMLSN	TOMLISON
TLMX	TOLMICH
TLNR	TOLLNER
TLFSRT	TOLLEFSRUD
TLTN	TOLEDANO
TL	TOLAYO
TNJS	TOENGES
TFLT	TOEFIELD
TK	TOCK
TPS	TOBIASZ
TPR	TOBERY
TPRT	TOBERT
TPN	TOBAN
TPK	TOBACK
TJRKS	TJARKS
TSNT	TIZNADO
TTL	TITLOW
TXLR	TISHLER
TRPS	TIRABASSI
TPT	TIPPET
TNK	TINKEY
TMSN	TIMSON
TMPRMN	TIMPERMAN
TMS	TIMMIS
TMRMNS	TIMMERMANS
TM	TIMME
TMPRMN	TIMBERMAN
TKNN	TIKKANEN
TTS	TIETZE
TRMN	TIERMAN
TPR	TIBERI
0RNKR	THURINGER
0L	THUL
0	THU
0R	THRO
0RNL	THORNWELL
TMLSN	THOMLISON
TMLNSN	THOMLINSON
TMSN	THOMASSEN
0MS	THIMMES
0LKNK	THILKING
0RMN	THIERMAN
0LMN	THIELEMANN
0PTT	THIBOUTOT
0PT	THIBIDEAU
0RS	THERESA
0RT	THEARD
0FX0	THAVICHITH
0T	THAUT
TSK	TEZAK
TTSLF	TETZLOFF
TT	TETO
TTL	TETLOW
TSLR	TESSLER
TSMN	TESSEYMAN
TSK	TESKEY
TS	TES
TRSN	TERZIAN
TRLKR	TERWILLEGAR
TRF	TERVO
TRNS	TERRONEZ
TRNSK	TERNASKY
TRMN	TERMINI
TRPS	TERBOSS
TRMT	TERAMOTO
TPL	TEPLEY
TNT	TENUTA
TNN	TENEN
TL	TELLIO
TLFSN	TELLEFSON
TLK	TELECKY
TKL	TEKELL
TFRTLR	TEFERTILLER
TS	TEECE
TTSK	TEDESKO
TTRS	TEDEROUS
TP	TEBEAU
TR	TEAR
THN	TEAHAN
TSL	TAZEWELL
TSLR	TAZELAAR
TFN	TAVANO
TTSPK	TATSAPAUGH
TTLK	TATLOCK
TTRS	TATARIS
TSNR	TASSINARI
TS	TASSIE
TRFS	TARVIS
TRK	TARKEY
TRNJL	TARANGELO
TP	TAPPA
TN	TANNA
TNKL	TANIKELLA
TMPLN	TAMBLYN
TMR	TAMARO
TLR	TALYOR
TLS	TALLAS
TLMPT	TALAYUMPTEWA
TLSK	TALASKA
TJ	TAJ
TKNRN	TAGLIARINI
TKT	TAGATA
TFLNKR	TAFLINGER
TTN	TADDONIO
TKTRN	TACDERAN
TPLNK	TABLANG
TPSL	TABISULA
TPKS	TABICAS
TPR	TABAR
ST	SZWED
SMSK	SZUMSKI
SMKL	SZUMIGALA
SLS	SZOLLOSI
SSSN	SZCZESNY
SPNSK	SYPNIEWSKI
SN	SYON
SLFN	SYLVAN
SL	SYAL
SR	SWOR
SPS	SWOOPES
SP	SWOAP
SR	SWIRE
SMR	SWIMMER
SLR	SWILER
ST	SWIDA
SSR	SWEEZER
SP	SWEEP
SL	SWEELEY
ST	SWEDE
SRNJN	SWEARENGEN
STNR	SWEADNER
SRTSLTR	SWARTZWELDER
SNRT	SWANHART
SFN	SVEEN
SF	SVAY
STK	SUTYAK
STN	SUTTEN
STLR	SUTLER
SSK	SUSKI
SRPRS	SURPRISE
SPRNLT	SUPERNAULT
SS	SUOZZO
SNS	SUNS
SNTR	SUNDER
SMN	SUMNEY
SMRL	SUMMARELL
SMR	SUMERA
SLSPK	SULZBACH
SLFRJ	SULFRIDGE
SKRM	SUKHRAM
SK	SUK
STR	SUITOR
SKR	SUGHROUE
SKHR	SUGAHARA
STL	SUDLOW
STN	SUDAN
STK	SUDAK
SPT	SUBIDO
STL	STYLE
STRT	STWEART
STRS	STURZ
STRT	STURDY
STRX	STURCHIO
STLS	STULCE
STKNPRK	STUKENBORG
STKMR	STUCKEMEYER
STSFR	STSAUVEUR
STRL	STROLL
STRMR	STROHMEIER
STRSL	STRISSEL
STRMPL	STRIMPLE
STRML	STREMMEL
STRSLK	STRECZYWILK
STRRN	STRAWHORN
STRTS	STRATZ
STRTS	STRATOS
STRTN	STRATON
STRSNR	STRASSNER
STRM	STRAMA
STRT	STRADA
STS	STOSS
STRT	STORTI
STMPRK	STOMBERG
STLS	STOLZE
STLKR	STOLIKER
STLR	STOLER
STLPRK	STOLBERG
STLRK	STOLARIK
STLTN	STOHLTON
STFK	STOFKO
STFLT	STOFFLET
STF	STOFF
STSR	STOESSER
STPR	STOEBER
STTN	STODDEN
STPRSK	STOBIERSKI
STPS	STOBBS
STJNS	STJOHNS
STRP	STIRRUP
STRMN	STIRMAN
STNHLFR	STINEHELFER
STML	STIMMELL
STMTS	STIMITS
STKR	STIGGER
STRS	STIERS
STF	STIEFF
STTM	STIDAM
STRTS	STEWARTS
STFNSN	STEVINSON
STF	STEVEY
STRT	STERETT
STR	STER
STPL	STEPPELLO
STPNSK	STEPNOSKI
STNTSL	STENTZEL
STNSL	STENCIL
STNSL	STENCEL
STMPN	STEMPIEN
STKT	STEKETEE
STNPRKN	STEINBRUCKNER
STNPRN	STEINBORN
STKMN	STEIGMAN
STPR	STEIBER
STJNT	STEGENT
STFN	STEFFANI
STRMN	STEERMAN
STNKN	STEENKEN
STNRT	STEENHARD
STTMN	STEEDMAN
STKL	STECKLEY
STL	STEALEY
STRK	STAYROOK
STFNS	STAVNES
STS	STAUSS
STX	STASH
STR	STARY
STR	STARE
STNT	STANT
STNF	STANFA
STNTFLT	STANDFIELD
STNTPR	STANDBERRY
STNTJ	STANDAGE
STNK	STANCO
STNJ	STANAGE
STMP	STAMPE
STMTFR	STAMDIFER
STLR0	STALWORTH
STLM	STALMA
STRS	STAIRES
STNS	STAINES
STN	STAINE
STLPRK	STAHLBERG
STTN	STADDEN
STPRK	STABERG
STPL	STABEL
SPRKRS	SPURGERS
SPRS	SPRUCE
SPRNKL	SPRINKEL
SPRNKMN	SPRINGMAN
SPRKL	SPRIGGLE
SPRLTR	SPORLEDER
SPRSK	SPORCIC
SPNTK	SPONTAK
SPNLS	SPONHOLZ
SPR	SPOHR
SPTL	SPITTLE
SPR	SPIRY
SPS	SPIECE
SPKS	SPICUZZA
SPRLX	SPERLICH
SPRTT	SPERDUTE
SPRS	SPERAZZA
SPLTS	SPELTS
SPRS	SPEARES
SPKS	SPEAKES
SPRK	SPARHAWK
SPNL	SPANIEL
SPR	SPAAR
SRS	SOYARS
SFRNS	SOVERNS
STM	SOUTHAM
SR	SOUR
SFM	SOUPHOM
SN	SOUN
SL	SOULA
SSMN	SOSSAMON
SX	SOSH
SSP	SOSBY
SRSP	SORSBY
SRK	SOROKA
SRSL	SORICELLI
SRJ	SORGI
SRPR	SORBERA
SPLP	SOPLOP
SH	SOOHOO
SNT	SONODA
SN	SONNY
SNPRN	SONNEBORN
SMT	SOMODI
SMS	SOMMESE
SLMN	SOLMAN
SL	SOLLIE
SL	SOLLA
SLN	SOLINA
SLN	SOLIANI
SL	SOLEY
SLK	SOLECKI
SLJS	SOLAGES
SR	SOHRE
SNKSN	SOENKSEN
STMN	SODEMAN
SPX	SOBIECH
SPRNS	SOBERANIS
SNPK	SNOBECK
SNRLNK	SNERLING
SNTR	SNEIDER
SNS	SNAZA
SMLK	SMOLIC
SMJL	SMIGEL
SMKJ	SMIGAJ
SMXSK	SMIECHOWSKI
SMT	SMIDA
SMRKR	SMERKAR
SMP	SMEBY
SL0R	SLOTHOWER
SLTMKR	SLOTEMAKER
SLTSK	SLODYSKO
SLFK	SLIVKA
SLMR	SLIMMER
SLKT	SLIGHT
SLFK	SLIFKO
SLTR	SLAYTER
SLSK	SLAWSKI
SLSN	SLAUSON
SLTN	SLATTEN
SLN	SLAIN
SKLTT	SKULTETY
SKRP	SKRIP
SKR	SKOWYRA
SKRP	SKORUPA
SKRTL	SKORDAHL
SKMSK	SKOMSKY
SKF	SKOFF
SKLNR	SKLENAR
SKLTN	SKELDON
SKSK	SKEESICK
SK	SKEA
SKJN	SKAGEN
SSTRNT	SJOSTRAND
SKSTS	SIXTOS
SFR	SIVYER
SFRSN	SIVERSON
SFRLNK	SIVERLING
SFN	SIVAN
SF	SIVA
STSLR	SITZLER
S0R	SITHER
SSKNT	SISKIND
SSK	SISKE
SRN	SIRON
SRKR	SIREGAR
SRP	SIRBAUGH
SRK	SIRAK
SPTK	SIPTAK
SNSTK	SINSTACK
SNS	SINS
SNSKLX	SINISCALCHI
SNKLTN	SINGLTON
SNTN	SINDEN
SNKR	SINAGRA
SN	SINA
SMPN	SIMPON
SMN	SIMMONEAU
SMLR	SIMLER
SMKLT	SIMKULET
SM	SIMI
SMN	SIMEONA
SMNS	SIMENS
SLFRSTN	SILVERSTONE
SLFRNS	SILVERNESS
SLSP	SILSBEE
SLS	SILLAS
SL	SILEO
SLPRT	SILBERT
SKL	SIKULA
SKNN	SIGLIN
SKL	SIGLEY
SKFS	SIGAFUS
S	SIEW
STSM	SIETSMA
SRS	SIERRAS
SMPT	SIEMBIDA
SKR	SIEKER
STLK	SIEDLIK
STR	SIDUR
STL	SIDELL
ST	SIDDOWAY
SPL	SIBILLE
SPL	SIBILIA
SPLT	SIBBALD
XST	SHUSTA
XSK	SHUSKEY
XRTS	SHURTS
XRK	SHRYACK
XRL	SHROLL
XL	SHOWELL
XF	SHOVE
XLRS	SHOULARS
XRTN	SHORTINO
XP	SHOPP
XMT	SHMIDT
X	SHIU
XRR	SHIRAR
XNRS	SHINNERS
XNKLS	SHINGLES
XNPR	SHINABERY
XMK	SHIMKO
XPLS	SHIBLES
XRTSR	SHERTZER
XRN	SHERRIN
XRL	SHERRIL
XLMR	SHELLHAMER
XLS	SHELLHAAS
XLTRP	SHELDRUP
XLT	SHELADIA
XHP	SHEHAB
XF	SHEFF
XK	SHECK
XRMN	SHEARMAN
XF	SHEAFF
XR	SHAUER
XTSL	SHATSWELL
XSK	SHASKE
XRK	SHARICK
XPRT	SHAPPARD
XLKRS	SHALLCROSS
XL	SHALA
XKL	SHAKLEE
XKSPR	SHAKESPEAR
XF	SHAFE
XT	SHADY
XTL	SHADWELL
XKLT	SHACKLETT
SMR	SEYMOR
STLMR	SETTLEMIRE
STNK	SETTING
S0R	SETHER
SSM	SESMA
SSR	SESAREO
SRK	SERYAK
SRFN	SERVEN
SRS	SERS
SRPS	SERBUS
SRP	SERB
SP	SEPPI
SFS	SEPHUS
SNTNL	SENTINELLA
SNSL	SENSEL
SNF	SENF
SNT	SENATO
SMPK	SEMPEK
SMT	SEMIDEY
SMSK	SEMASKO
SLS	SELZ
SLTS	SELTZ
SLMR	SELMER
SLT	SELITTO
SLM	SELIM
SSR	SEISER
SKL	SEIKEL
SKL	SEIGLE
ST	SEID
SK	SEGOUIA
SNR	SEGNER
SJRSN	SEGERSON
SKL	SEGALA
SFSK	SEFCIK
SHLSR	SEEHOLZER
SJRT	SEEGERT
STT	SEDITA
STNK	SEDENKO
STR	SEDAR
SKNT	SECONDO
SKNKR	SECKINGER
SPLT	SEBALD
SP	SEBA
SHRN	SEAHORN
SPRT	SEABRIGHT
SKT	SCOTTY
SK0RN	SCOTHORN
SKRTT	SCORDATO
SKM	SCOMA
SKP	SCOBIE
SPN	SCIPIONE
SR	SCIARA
XTRMN	SCHWIETERMAN
XNTMN	SCHWENDEMANN
XT	SCHWEDE
XRTSPK	SCHWARTZBACH
XRS	SCHWARCZ
XLN	SCHWALEN
XTSMN	SCHUTZMAN
XNMN	SCHUNEMANN
XLS	SCHULWEIS
XL	SCHUL
XFRT	SCHUFFERT
XKRS	SCHUCKERS
XRL	SCHRULL
XRP	SCHRUBBE
XRR	SCHREYER
XRKS	SCHRECKHISE
XRTR	SCHREADER
SKNFN	SCHOONHOVEN
SKLMN	SCHOOLMAN
XL	SCHOL
XTMR	SCHOETTMER
XPF	SCHOEPF
XNL	SCHOENLE
XNKR	SCHOENECKER
XPRT	SCHOBERT
XNR	SCHNYER
XNK	SCHNOKE
