SM0	SMITH
LNKSTR	LANCASTER
ST	SWEET
JSTS	JUSTICE
TSN	TYSON
XRP	SHARPE
ATFLT	WHITFIELD
TL	TALLEY
MSS	MACIAS
ARN	IRWIN
PRS	BURRIS
RTLF	RATLIFF
MKR	MCCRAY
MTN	MADDEN
KFMN	KAUFMAN
PX	BEACH
KF	GOFF
KX	CASH
PLTN	BOLTON
MKFTN	MCFADDEN
LFN	LEVINE
KT	GOOD
PRS	BYERS
KRKLNT	KIRKLAND
KT	KIDD
ARKMN	WORKMAN
KRN	CARNEY
TL	DALE
MKLT	MCLEOD
HLKMP	HOLCOMB
ANKLNT	ENGLAND
FNX	FINCH
HT	HEAD
PRT	BURT
HNTRKS	HENDRIX
SS	SOSA
HN	HANEY
FRNKS	FRANKS
SRJNT	SARGENT
NFS	NIEVES
TNS	DOWNS
RSMSN	RASMUSSEN
PRT	BIRD
HT	HEWITT
LNTS	LINDSAY
L	LE
FRMN	FOREMAN
FLNS	VALENCIA
ANL	ONEIL
TLKRS	DELACRUZ
FNSN	VINSON
TJSS	DEJESUS
HT	HYDE
FRPS	FORBES
KLM	GILLIAM
K0R	GUTHRIE
ATN	WOOTEN
HPR	HUBER
PRL	BARLOW
PL	BOYLE
MKMHN	MCMAHON
PKNR	BUCKNER
RX	ROCHA
PKT	PUCKETT
LNKL	LANGLEY
NLS	KNOWLES
KK	COOKE
FLSKS	VELAZQUEZ
ATL	WHITLEY
NL	NOEL
FNK	VANG
X	SHEA
RS	ROUSE
HRTL	HARTLEY
MFLT	MAYFIELD
ALTR	ELDER
RNKN	RANKIN
HN	HANNA
KN	COWAN
LSR	LUCERO
AR	ARROYO
SLFTR	SLAUGHTER
HS	HAAS
AKNL	OCONNELL
MNR	MINOR
KNTRK	KENDRICK
XRL	SHIRLEY
KNTL	KENDALL
PXR	BOUCHER
ARXR	ARCHER
PKS	BOGGS
ATL	ODELL
TRT	DOUGHERTY
ANTRSN	ANDERSEN
NL	NEWELL
KR	CROWE
ANK	WANG
FRTMN	FRIEDMAN
PLNT	BLAND
SN	SWAIN
HL	HOLLEY
FLKS	FELIX
PRS	PEARCE
XLTS	CHILDS
ARPR	YARBROUGH
KLFN	GALVAN
PRKTR	PROCTOR
MKS	MEEKS
LSN	LOZANO
MR	MORA
RNJL	RANGEL
PKN	BACON
FLNF	VILLANUEVA
XFR	SCHAEFER
RST	ROSADO
HLMS	HELMS
PS	BOYCE
KS	GOSS
STNSN	STINSON
SMRT	SMART
LK	LAKE
APR	IBARRA
HXNS	HUTCHINS
KFNKTN	COVINGTON
RN	REYNA
KRK	GREGG
ARNR	WERNER
KRL	CROWLEY
HXR	HATCHER
MK	MACKEY
PNX	BUNCH
AMK	WOMACK
PLK	POLK
JMSN	JAMISON
TT	DODD
XLTRS	CHILDRESS
XLTRS	CHILDERS
KMP	CAMP
FL	VILLA
T	DYE
SPRNKR	SPRINGER
MHN	MAHONEY
TL	DAILEY
PLXR	BELCHER
LKRT	LOCKHART
KRKS	GRIGGS
KST	COSTA
KNR	CONNOR
PRNT	BRANDT
ANTR	WINTER
ALTN	WALDEN
MSR	MOSER
TRS	TRACY
TTM	TATUM
MKN	MCCANN
AKRS	AKERS
LTS	LUTZ
PRR	PRYOR
L	LAW
ARSK	OROZCO
MKLSTR	MCALLISTER
LK	LUGO
TFS	DAVIES
XMKR	SHOEMAKER
MTSN	MADISON
R0RFRT	RUTHERFORD
NSM	NEWSOME
MJ	MAGEE
XMPRLN	CHAMBERLAIN
PLNTN	BLANTON
SMS	SIMMS
KTFR	GODFREY
FLNKN	FLANAGAN
KRM	CRUM
KRTF	CORDOVA
ASKPR	ESCOBAR
TNNK	DOWNING
SNKLR	SINCLAIR
TNH	DONAHUE
KRJR	KRUEGER
MKNS	MCGINNIS
KR	GORE
FRS	FARRIS
APR	WEBBER
KRPT	CORBETT
ANTRT	ANDRADE
STR	STARR
LN	LYON
ATR	YODER
HSTNKS	HASTINGS
MKR0	MCGRATH
SPF	SPIVEY
KRS	KRAUSE
HRTN	HARDEN
KRPTR	CRABTREE
KRKPTRK	KIRKPATRICK
HLS	HOLLIS
PRNTN	BRANDON
ARNKTN	ARRINGTON
ARFN	ERVIN
KLFTN	CLIFTON
RTR	RITTER
MK	MCGHEE
PLTN	BOLDEN
MLN	MALONEY
KNN	GAGNON
TNPR	DUNBAR
PNS	PONCE
PK	PIKE
MS	MAYES
HRT	HEARD
PT	BEATTY
MPL	MOBLEY
KMPL	KIMBALL
PTS	BUTTS
MNTS	MONTES
HRPRT	HERBERT
KRT	GRADY
ALTRJ	ELDRIDGE
PRN	BRAUN
HM	HAMM
KPNS	GIBBONS
SMR	SEYMOUR
MR	MOYER
MNL	MANLEY
HRN	HERRON
PLMR	PLUMMER
ALMR	ELMORE
KRMR	CRAMER
KR	GARY
RKR	RUCKER
HLTN	HILTON
PL	BLUE
PRSN	PIERSON
FNTNT	FONTENOT
FLT	FIELD
RP	RUBIO
KRS	GRACE
KLTSTN	GOLDSTEIN
ALKNS	ELKINS
ALS	WILLS
NFK	NOVAK
JN	JOHN
HK	HICKEY
ARL	WORLEY
KRMN	GORMAN
KTS	KATZ
TKNSN	DICKINSON
PRSRT	BROUSSARD
FRTS	FRITZ
ATRF	WOODRUFF
KR	CROW
XRSTFR	CHRISTOPHER
PRTN	BRITTON
FRST	FORREST
NNS	NANCE
LMN	LEHMAN
PNKM	BINGHAM
SNK	ZUNIGA
AL	WHALEY
XFR	SHAFER
KFMN	COFFMAN
STRT	STEWARD
TLRS	DELAROSA
NKS	NIX
NL	NEELY
NMRS	NUMBERS
MT	MATA
MNL	MANUEL
TFL	DAVILA
MKP	MCCABE
KSLR	KESSLER
AMR	EMERY
PLNK	BOWLING
HNKL	HINKLE
ALX	WELSH
PKN	PAGAN
KLTPRK	GOLDBERG
KNS	GOINS
KRX	CROUCH
KFS	CUEVAS
KNNS	QUINONES
MKTRMT	MCDERMOTT
HNTRKSN	HENDRICKSON
SMLS	SAMUELS
TNTN	DENTON
PRKRN	BERGERON
LM	LAM
AF	IVEY
LK	LOCKE
HNS	HAINES
0RMN	THURMAN
SNL	SNELL
HSKNS	HOSKINS
PRN	BYRNE
MLTN	MILTON
ANSTN	WINSTON
AR0R	ARTHUR
ARS	ARIAS
STNFRT	STANFORD
R	ROE
KRPN	CORBIN
PLTRN	BELTRAN
XPL	CHAPPELL
HRT	HURT
TN	DOWNEY
TL	DOOLEY
TTL	TUTTLE
KX	COUCH
