     56 R360
     56 N300
     56 M460
     56 L162
     56 H220
     56 F623
     56 C452
     56 B453
     56 B360
     56 B263
     56 A652
     56 A250
     55 W320
     55 W255
     55 V620
     55 V420
     55 T630
     55 S342
     55 R340
     55 P635
     55 P632
     55 H516
     55 G435
     55 G425
     55 F230
     55 D150
     55 C610
     55 C425
     55 B460
     54 W452
     54 S353
     54 P622
     54 P260
     54 N242
     54 M535
     54 M430
     54 M000
     54 L240
     54 H635
     54 G654
     54 G250
     54 D552
     54 D525
     53 W400
     53 S540
     53 S426
     53 S310
     53 P425
     53 M550
     53 M325
     53 K650
     53 K250
     53 H650
     53 H524
     53 G632
     53 F653
     53 C626
     52 T610
     52 S436
     52 R263
     52 P624
     52 M524
     52 L535
     52 K320
     52 J620
     52 H655
     52 H536
     52 G615
     52 G524
     52 D530
     52 D524
     52 D162
     52 C460
     52 B100
     51 W536
     51 S346
     51 P652
     51 P100
     51 N500
     51 L560
     51 L400
     51 L140
     51 K626
     51 H320
     51 F655
     51 D320
     51 D230
     51 C220
     51 A653
     50 W252
     50 T624
     50 S625
     50 S412
     50 L165
     50 K560
     50 K532
     50 H560
     50 F625
     50 C230
     50 C150
     50 B432
     50 A625
     50 A425
     49 P640
     49 N260
     49 M425
     49 L652
     49 L523
     49 G350
     49 D240
     49 C235
     49 C160
     49 A200
     48 N400
     48 N100
     48 K524
     48 H325
     48 H230
     48 F260
     48 F240
     48 D252
     48 C516
     48 B436
     48 B435
     48 B255
     48 A535
     47 Y520
     47 T525
     47 S632
     47 S143
     47 R525
     47 M652
     47 L526
     47 K622
     47 K550
     47 H120
     47 H000
     47 G530
     47 F635
     46 V400
     46 T623
     46 S345
     46 R550
     46 P426
     46 N520
     46 K623
     46 K530
     46 K252
     46 H430
     46 H255
     46 G360
     46 F640
     46 C510
     46 B532
     46 B423
     45 W436
     45 W236
     45 S522
     45 S364
     45 P360
     45 M243
     45 L563
     45 H562
     45 H140
     45 G640
     45 F660
     45 F500
     45 D452
     45 C455
     45 C423
     45 B654
     45 A420
     44 W620
     44 W340
     44 V525
     44 S332
     44 S220
     44 L524
     44 K523
     44 J500
     44 F430
     44 D262
     44 C436
     44 B000
     44 A520
     44 A400
     43 Z520
     43 T625
     43 T550
     43 S335
     43 O250
     43 O236
     43 N600
     43 M632
     43 M362
     43 L521
     43 L360
     43 K510
     43 K460
     43 H532
     43 G452
     43 G100
     43 F300
     43 D630
     43 C655
     43 C654
     43 B636
     43 A530
     43 A260
     42 W430
     42 W350
     42 W250
     42 V260
     42 T250
     42 S312
     42 R352
     42 M623
     42 M522
     42 H552
     42 G624
     42 G622
     42 G536
     42 F460
     42 D540
     42 B560
     41 W435
     41 W425
     41 W362
     41 S640
     41 S263
     41 P530
     41 L263
     41 K514
     41 K455
     41 K160
