H640	HARRELL
L236	LESTER
H516	HUMPHREY
P620	PARRISH
D650	DURAN
H325	HUTCHINSON
H200	HESS
D620	DORSEY
B420	BULLOCK
R142	ROBLES
B630	BEARD
D435	DALTON
A140	AVILA
V520	VANCE
R200	RICH
B424	BLACKWELL
Y620	YORK
J520	JOHNS
B452	BLANKENSHIP
T615	TREVINO
S452	SALINAS
C512	CAMPOS
P630	PRUITT
M220	MOSES
C450	CALLAHAN
G435	GOLDEN
M530	MONTOYA
H635	HARDIN
G600	GUERRA
M234	MCDOWELL
C600	CAREY
S316	STAFFORD
G422	GALLEGOS
H525	HENSON
W425	WILKINSON
B260	BOOKER
M630	MERRITT
M653	MIRANDA
A325	ATKINSON
O600	ORR
D260	DECKER
H120	HOBBS
P623	PRESTON
T560	TANNER
K520	KNOX
P220	PACHECO
S315	STEPHENSON
G420	GLASS
R220	ROJAS
S650	SERRANO
M620	MARKS
H255	HICKMAN
E524	ENGLISH
S500	SWEENEY
S365	STRONG
P652	PRINCE
M246	MCCLURE
C500	CONWAY
W436	WALTER
R300	ROTH
M563	MAYNARD
F640	FARRELL
L600	LOWERY
H623	HURST
N250	NIXON
W200	WEISS
T624	TRUJILLO
E425	ELLISON
S450	SLOAN
J620	JUAREZ
W536	WINTERS
M245	MCLEAN
R534	RANDOLPH
L500	LEON
B600	BOYER
V464	VILLARREAL
M240	MCCALL
G536	GENTRY
C640	CARRILLO
K530	KENT
A620	AYERS
L600	LARA
S550	SHANNON
S235	SEXTON
P200	PACE
H400	HULL
L145	LEBLANC
B655	BROWNING
V422	VELASQUEZ
L200	LEACH
C520	CHANG
H200	HOUSE
S462	SELLERS
H652	HERRING
N140	NOBLE
F400	FOLEY
B634	BARTLETT
M623	MERCADO
L536	LANDRY
D650	DURHAM
W420	WALLS
B600	BARR
M200	MCKEE
B600	BAUER
R162	RIVERS
E163	EVERETT
B632	BRADSHAW
P200	PUGH
V420	VELEZ
R200	RUSH
E232	ESTES
D325	DODSON
M620	MORSE
S163	SHEPPARD
W200	WEEKS
C520	CAMACHO
B500	BEAN
B650	BARRON
L152	LIVINGSTON
M343	MIDDLETON
S162	SPEARS
B652	BRANCH
B415	BLEVINS
C500	CHEN
K600	KERR
M254	MCCONNELL
H314	HATFIELD
H635	HARDING
A240	ASHLEY
S420	SOLIS
H655	HERMAN
F623	FROST
G420	GILES
B421	BLACKBURN
W450	WILLIAM
P552	PENNINGTON
W363	WOODWARD
F540	FINLEY
M253	MCINTOSH
K200	KOCH
B230	BEST
S455	SOLOMON
M242	MCCULLOUGH
